IDSK,DATA,DIA,DIASEMANA,MES,NOMEMES,QUARTO,NOMEQUARTO,ANO,ESTACAOANO,FIMSEMANA,DATACOMPLETA
50049,1950-02-19,19,Domingo,02,Fevereiro,1,Primeiro,1950,Verão,Sim,19500219
50050,1950-02-20,20,Segunda,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500220
50051,1950-02-21,21,Terça,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500221
50052,1950-02-22,22,Quarta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500222
50053,1950-02-23,23,Quinta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500223
50054,1950-02-24,24,Sexta,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500224
50055,1950-02-25,25,Sábado,02,Fevereiro,1,Primeiro,1950,Verão,Sim,19500225
50056,1950-02-26,26,Domingo,02,Fevereiro,1,Primeiro,1950,Verão,Sim,19500226
50057,1950-02-27,27,Segunda,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500227
50058,1950-02-28,28,Terça,02,Fevereiro,1,Primeiro,1950,Verão,Não,19500228
50059,1950-03-01,01,Quarta,03,Março,1,Primeiro,1950,Verão,Não,19500301
50060,1950-03-02,02,Quinta,03,Março,1,Primeiro,1950,Verão,Não,19500302
50061,1950-03-03,03,Sexta,03,Março,1,Primeiro,1950,Verão,Não,19500303
50062,1950-03-04,04,Sábado,03,Março,1,Primeiro,1950,Verão,Sim,19500304
50063,1950-03-05,05,Domingo,03,Março,1,Primeiro,1950,Verão,Sim,19500305
50064,1950-03-06,06,Segunda,03,Março,1,Primeiro,1950,Verão,Não,19500306
50065,1950-03-07,07,Terça,03,Março,1,Primeiro,1950,Verão,Não,19500307
50066,1950-03-08,08,Quarta,03,Março,1,Primeiro,1950,Verão,Não,19500308
50067,1950-03-09,09,Quinta,03,Março,1,Primeiro,1950,Verão,Não,19500309
50068,1950-03-10,10,Sexta,03,Março,1,Primeiro,1950,Verão,Não,19500310
50069,1950-03-11,11,Sábado,03,Março,1,Primeiro,1950,Verão,Sim,19500311
50070,1950-03-12,12,Domingo,03,Março,1,Primeiro,1950,Verão,Sim,19500312
50071,1950-03-13,13,Segunda,03,Março,1,Primeiro,1950,Verão,Não,19500313
50072,1950-03-14,14,Terça,03,Março,1,Primeiro,1950,Verão,Não,19500314
50073,1950-03-15,15,Quarta,03,Março,1,Primeiro,1950,Verão,Não,19500315
50074,1950-03-16,16,Quinta,03,Março,1,Primeiro,1950,Verão,Não,19500316
50075,1950-03-17,17,Sexta,03,Março,1,Primeiro,1950,Verão,Não,19500317
50076,1950-03-18,18,Sábado,03,Março,1,Primeiro,1950,Verão,Sim,19500318
50077,1950-03-19,19,Domingo,03,Março,1,Primeiro,1950,Verão,Sim,19500319
50078,1950-03-20,20,Segunda,03,Março,1,Primeiro,1950,Verão,Não,19500320
50079,1950-03-21,21,Terça,03,Março,1,Primeiro,1950,Outono,Não,19500321
50080,1950-03-22,22,Quarta,03,Março,1,Primeiro,1950,Outono,Não,19500322
50081,1950-03-23,23,Quinta,03,Março,1,Primeiro,1950,Outono,Não,19500323
50082,1950-03-24,24,Sexta,03,Março,1,Primeiro,1950,Outono,Não,19500324
50083,1950-03-25,25,Sábado,03,Março,1,Primeiro,1950,Outono,Sim,19500325
50084,1950-03-26,26,Domingo,03,Março,1,Primeiro,1950,Outono,Sim,19500326
50085,1950-03-27,27,Segunda,03,Março,1,Primeiro,1950,Outono,Não,19500327
50086,1950-03-28,28,Terça,03,Março,1,Primeiro,1950,Outono,Não,19500328
50087,1950-03-29,29,Quarta,03,Março,1,Primeiro,1950,Outono,Não,19500329
50088,1950-03-30,30,Quinta,03,Março,1,Primeiro,1950,Outono,Não,19500330
50089,1950-03-31,31,Sexta,03,Março,1,Primeiro,1950,Outono,Não,19500331
50090,1950-04-01,01,Sábado,04,Abril,2,Segundo,1950,Outono,Sim,19500401
50091,1950-04-02,02,Domingo,04,Abril,2,Segundo,1950,Outono,Sim,19500402
50092,1950-04-03,03,Segunda,04,Abril,2,Segundo,1950,Outono,Não,19500403
50093,1950-04-04,04,Terça,04,Abril,2,Segundo,1950,Outono,Não,19500404
50094,1950-04-05,05,Quarta,04,Abril,2,Segundo,1950,Outono,Não,19500405
50095,1950-04-06,06,Quinta,04,Abril,2,Segundo,1950,Outono,Não,19500406
50096,1950-04-07,07,Sexta,04,Abril,2,Segundo,1950,Outono,Não,19500407
50097,1950-04-08,08,Sábado,04,Abril,2,Segundo,1950,Outono,Sim,19500408
50098,1950-04-09,09,Domingo,04,Abril,2,Segundo,1950,Outono,Sim,19500409
50099,1950-04-10,10,Segunda,04,Abril,2,Segundo,1950,Outono,Não,19500410
50100,1950-04-11,11,Terça,04,Abril,2,Segundo,1950,Outono,Não,19500411
50101,1950-04-12,12,Quarta,04,Abril,2,Segundo,1950,Outono,Não,19500412
50102,1950-04-13,13,Quinta,04,Abril,2,Segundo,1950,Outono,Não,19500413
50103,1950-04-14,14,Sexta,04,Abril,2,Segundo,1950,Outono,Não,19500414
50104,1950-04-15,15,Sábado,04,Abril,2,Segundo,1950,Outono,Sim,19500415
50105,1950-04-16,16,Domingo,04,Abril,2,Segundo,1950,Outono,Sim,19500416
50106,1950-04-17,17,Segunda,04,Abril,2,Segundo,1950,Outono,Não,19500417
50107,1950-04-18,18,Terça,04,Abril,2,Segundo,1950,Outono,Não,19500418
50108,1950-04-19,19,Quarta,04,Abril,2,Segundo,1950,Outono,Não,19500419
50109,1950-04-20,20,Quinta,04,Abril,2,Segundo,1950,Outono,Não,19500420
50110,1950-04-21,21,Sexta,04,Abril,2,Segundo,1950,Outono,Não,19500421
50111,1950-04-22,22,Sábado,04,Abril,2,Segundo,1950,Outono,Sim,19500422
50112,1950-04-23,23,Domingo,04,Abril,2,Segundo,1950,Outono,Sim,19500423
50113,1950-04-24,24,Segunda,04,Abril,2,Segundo,1950,Outono,Não,19500424
50114,1950-04-25,25,Terça,04,Abril,2,Segundo,1950,Outono,Não,19500425
50115,1950-04-26,26,Quarta,04,Abril,2,Segundo,1950,Outono,Não,19500426
50116,1950-04-27,27,Quinta,04,Abril,2,Segundo,1950,Outono,Não,19500427
50117,1950-04-28,28,Sexta,04,Abril,2,Segundo,1950,Outono,Não,19500428
50118,1950-04-29,29,Sábado,04,Abril,2,Segundo,1950,Outono,Sim,19500429
50119,1950-04-30,30,Domingo,04,Abril,2,Segundo,1950,Outono,Sim,19500430
50120,1950-05-01,01,Segunda,05,Maio,2,Segundo,1950,Outono,Não,19500501
50121,1950-05-02,02,Terça,05,Maio,2,Segundo,1950,Outono,Não,19500502
50122,1950-05-03,03,Quarta,05,Maio,2,Segundo,1950,Outono,Não,19500503
50123,1950-05-04,04,Quinta,05,Maio,2,Segundo,1950,Outono,Não,19500504
50124,1950-05-05,05,Sexta,05,Maio,2,Segundo,1950,Outono,Não,19500505
50125,1950-05-06,06,Sábado,05,Maio,2,Segundo,1950,Outono,Sim,19500506
50126,1950-05-07,07,Domingo,05,Maio,2,Segundo,1950,Outono,Sim,19500507
50127,1950-05-08,08,Segunda,05,Maio,2,Segundo,1950,Outono,Não,19500508
50128,1950-05-09,09,Terça,05,Maio,2,Segundo,1950,Outono,Não,19500509
50129,1950-05-10,10,Quarta,05,Maio,2,Segundo,1950,Outono,Não,19500510
50130,1950-05-11,11,Quinta,05,Maio,2,Segundo,1950,Outono,Não,19500511
50131,1950-05-12,12,Sexta,05,Maio,2,Segundo,1950,Outono,Não,19500512
50132,1950-05-13,13,Sábado,05,Maio,2,Segundo,1950,Outono,Sim,19500513
50133,1950-05-14,14,Domingo,05,Maio,2,Segundo,1950,Outono,Sim,19500514
50134,1950-05-15,15,Segunda,05,Maio,2,Segundo,1950,Outono,Não,19500515
50135,1950-05-16,16,Terça,05,Maio,2,Segundo,1950,Outono,Não,19500516
50136,1950-05-17,17,Quarta,05,Maio,2,Segundo,1950,Outono,Não,19500517
50137,1950-05-18,18,Quinta,05,Maio,2,Segundo,1950,Outono,Não,19500518
50138,1950-05-19,19,Sexta,05,Maio,2,Segundo,1950,Outono,Não,19500519
50139,1950-05-20,20,Sábado,05,Maio,2,Segundo,1950,Outono,Sim,19500520
50140,1950-05-21,21,Domingo,05,Maio,2,Segundo,1950,Outono,Sim,19500521
50141,1950-05-22,22,Segunda,05,Maio,2,Segundo,1950,Outono,Não,19500522
50142,1950-05-23,23,Terça,05,Maio,2,Segundo,1950,Outono,Não,19500523
50143,1950-05-24,24,Quarta,05,Maio,2,Segundo,1950,Outono,Não,19500524
50144,1950-05-25,25,Quinta,05,Maio,2,Segundo,1950,Outono,Não,19500525
50145,1950-05-26,26,Sexta,05,Maio,2,Segundo,1950,Outono,Não,19500526
50146,1950-05-27,27,Sábado,05,Maio,2,Segundo,1950,Outono,Sim,19500527
50147,1950-05-28,28,Domingo,05,Maio,2,Segundo,1950,Outono,Sim,19500528
50148,1950-05-29,29,Segunda,05,Maio,2,Segundo,1950,Outono,Não,19500529
50149,1950-05-30,30,Terça,05,Maio,2,Segundo,1950,Outono,Não,19500530
50150,1950-05-31,31,Quarta,05,Maio,2,Segundo,1950,Outono,Não,19500531
50151,1950-06-01,01,Quinta,06,Junho,2,Segundo,1950,Outono,Não,19500601
50152,1950-06-02,02,Sexta,06,Junho,2,Segundo,1950,Outono,Não,19500602
50153,1950-06-03,03,Sábado,06,Junho,2,Segundo,1950,Outono,Sim,19500603
50154,1950-06-04,04,Domingo,06,Junho,2,Segundo,1950,Outono,Sim,19500604
50155,1950-06-05,05,Segunda,06,Junho,2,Segundo,1950,Outono,Não,19500605
50156,1950-06-06,06,Terça,06,Junho,2,Segundo,1950,Outono,Não,19500606
50157,1950-06-07,07,Quarta,06,Junho,2,Segundo,1950,Outono,Não,19500607
50158,1950-06-08,08,Quinta,06,Junho,2,Segundo,1950,Outono,Não,19500608
50159,1950-06-09,09,Sexta,06,Junho,2,Segundo,1950,Outono,Não,19500609
50160,1950-06-10,10,Sábado,06,Junho,2,Segundo,1950,Outono,Sim,19500610
50161,1950-06-11,11,Domingo,06,Junho,2,Segundo,1950,Outono,Sim,19500611
50162,1950-06-12,12,Segunda,06,Junho,2,Segundo,1950,Outono,Não,19500612
50163,1950-06-13,13,Terça,06,Junho,2,Segundo,1950,Outono,Não,19500613
50164,1950-06-14,14,Quarta,06,Junho,2,Segundo,1950,Outono,Não,19500614
50165,1950-06-15,15,Quinta,06,Junho,2,Segundo,1950,Outono,Não,19500615
50166,1950-06-16,16,Sexta,06,Junho,2,Segundo,1950,Outono,Não,19500616
50167,1950-06-17,17,Sábado,06,Junho,2,Segundo,1950,Outono,Sim,19500617
50168,1950-06-18,18,Domingo,06,Junho,2,Segundo,1950,Outono,Sim,19500618
50169,1950-06-19,19,Segunda,06,Junho,2,Segundo,1950,Outono,Não,19500619
50170,1950-06-20,20,Terça,06,Junho,2,Segundo,1950,Outono,Não,19500620
50171,1950-06-21,21,Quarta,06,Junho,2,Segundo,1950,Inverno,Não,19500621
50172,1950-06-22,22,Quinta,06,Junho,2,Segundo,1950,Inverno,Não,19500622
50173,1950-06-23,23,Sexta,06,Junho,2,Segundo,1950,Inverno,Não,19500623
50174,1950-06-24,24,Sábado,06,Junho,2,Segundo,1950,Inverno,Sim,19500624
50175,1950-06-25,25,Domingo,06,Junho,2,Segundo,1950,Inverno,Sim,19500625
50176,1950-06-26,26,Segunda,06,Junho,2,Segundo,1950,Inverno,Não,19500626
50177,1950-06-27,27,Terça,06,Junho,2,Segundo,1950,Inverno,Não,19500627
50178,1950-06-28,28,Quarta,06,Junho,2,Segundo,1950,Inverno,Não,19500628
50179,1950-06-29,29,Quinta,06,Junho,2,Segundo,1950,Inverno,Não,19500629
50180,1950-06-30,30,Sexta,06,Junho,2,Segundo,1950,Inverno,Não,19500630
50181,1950-07-01,01,Sábado,07,Julho,3,Terceiro,1950,Inverno,Sim,19500701
50182,1950-07-02,02,Domingo,07,Julho,3,Terceiro,1950,Inverno,Sim,19500702
50183,1950-07-03,03,Segunda,07,Julho,3,Terceiro,1950,Inverno,Não,19500703
50184,1950-07-04,04,Terça,07,Julho,3,Terceiro,1950,Inverno,Não,19500704
50185,1950-07-05,05,Quarta,07,Julho,3,Terceiro,1950,Inverno,Não,19500705
50186,1950-07-06,06,Quinta,07,Julho,3,Terceiro,1950,Inverno,Não,19500706
50187,1950-07-07,07,Sexta,07,Julho,3,Terceiro,1950,Inverno,Não,19500707
50188,1950-07-08,08,Sábado,07,Julho,3,Terceiro,1950,Inverno,Sim,19500708
50189,1950-07-09,09,Domingo,07,Julho,3,Terceiro,1950,Inverno,Sim,19500709
50190,1950-07-10,10,Segunda,07,Julho,3,Terceiro,1950,Inverno,Não,19500710
50191,1950-07-11,11,Terça,07,Julho,3,Terceiro,1950,Inverno,Não,19500711
50192,1950-07-12,12,Quarta,07,Julho,3,Terceiro,1950,Inverno,Não,19500712
50193,1950-07-13,13,Quinta,07,Julho,3,Terceiro,1950,Inverno,Não,19500713
50194,1950-07-14,14,Sexta,07,Julho,3,Terceiro,1950,Inverno,Não,19500714
50195,1950-07-15,15,Sábado,07,Julho,3,Terceiro,1950,Inverno,Sim,19500715
50196,1950-07-16,16,Domingo,07,Julho,3,Terceiro,1950,Inverno,Sim,19500716
50197,1950-07-17,17,Segunda,07,Julho,3,Terceiro,1950,Inverno,Não,19500717
50198,1950-07-18,18,Terça,07,Julho,3,Terceiro,1950,Inverno,Não,19500718
50199,1950-07-19,19,Quarta,07,Julho,3,Terceiro,1950,Inverno,Não,19500719
50200,1950-07-20,20,Quinta,07,Julho,3,Terceiro,1950,Inverno,Não,19500720
50201,1950-07-21,21,Sexta,07,Julho,3,Terceiro,1950,Inverno,Não,19500721
50202,1950-07-22,22,Sábado,07,Julho,3,Terceiro,1950,Inverno,Sim,19500722
50203,1950-07-23,23,Domingo,07,Julho,3,Terceiro,1950,Inverno,Sim,19500723
50204,1950-07-24,24,Segunda,07,Julho,3,Terceiro,1950,Inverno,Não,19500724
50205,1950-07-25,25,Terça,07,Julho,3,Terceiro,1950,Inverno,Não,19500725
50206,1950-07-26,26,Quarta,07,Julho,3,Terceiro,1950,Inverno,Não,19500726
50207,1950-07-27,27,Quinta,07,Julho,3,Terceiro,1950,Inverno,Não,19500727
50208,1950-07-28,28,Sexta,07,Julho,3,Terceiro,1950,Inverno,Não,19500728
50209,1950-07-29,29,Sábado,07,Julho,3,Terceiro,1950,Inverno,Sim,19500729
50210,1950-07-30,30,Domingo,07,Julho,3,Terceiro,1950,Inverno,Sim,19500730
50211,1950-07-31,31,Segunda,07,Julho,3,Terceiro,1950,Inverno,Não,19500731
50212,1950-08-01,01,Terça,08,Agosto,3,Terceiro,1950,Inverno,Não,19500801
50213,1950-08-02,02,Quarta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500802
50214,1950-08-03,03,Quinta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500803
50215,1950-08-04,04,Sexta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500804
50216,1950-08-05,05,Sábado,08,Agosto,3,Terceiro,1950,Inverno,Sim,19500805
50217,1950-08-06,06,Domingo,08,Agosto,3,Terceiro,1950,Inverno,Sim,19500806
50218,1950-08-07,07,Segunda,08,Agosto,3,Terceiro,1950,Inverno,Não,19500807
50219,1950-08-08,08,Terça,08,Agosto,3,Terceiro,1950,Inverno,Não,19500808
50220,1950-08-09,09,Quarta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500809
50221,1950-08-10,10,Quinta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500810
50222,1950-08-11,11,Sexta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500811
50223,1950-08-12,12,Sábado,08,Agosto,3,Terceiro,1950,Inverno,Sim,19500812
50224,1950-08-13,13,Domingo,08,Agosto,3,Terceiro,1950,Inverno,Sim,19500813
50225,1950-08-14,14,Segunda,08,Agosto,3,Terceiro,1950,Inverno,Não,19500814
50226,1950-08-15,15,Terça,08,Agosto,3,Terceiro,1950,Inverno,Não,19500815
50227,1950-08-16,16,Quarta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500816
50228,1950-08-17,17,Quinta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500817
50229,1950-08-18,18,Sexta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500818
50230,1950-08-19,19,Sábado,08,Agosto,3,Terceiro,1950,Inverno,Sim,19500819
50231,1950-08-20,20,Domingo,08,Agosto,3,Terceiro,1950,Inverno,Sim,19500820
50232,1950-08-21,21,Segunda,08,Agosto,3,Terceiro,1950,Inverno,Não,19500821
50233,1950-08-22,22,Terça,08,Agosto,3,Terceiro,1950,Inverno,Não,19500822
50234,1950-08-23,23,Quarta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500823
50235,1950-08-24,24,Quinta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500824
50236,1950-08-25,25,Sexta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500825
50237,1950-08-26,26,Sábado,08,Agosto,3,Terceiro,1950,Inverno,Sim,19500826
50238,1950-08-27,27,Domingo,08,Agosto,3,Terceiro,1950,Inverno,Sim,19500827
50239,1950-08-28,28,Segunda,08,Agosto,3,Terceiro,1950,Inverno,Não,19500828
50240,1950-08-29,29,Terça,08,Agosto,3,Terceiro,1950,Inverno,Não,19500829
50241,1950-08-30,30,Quarta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500830
50242,1950-08-31,31,Quinta,08,Agosto,3,Terceiro,1950,Inverno,Não,19500831
50243,1950-09-01,01,Sexta,09,Setembro,3,Terceiro,1950,Inverno,Não,19500901
50244,1950-09-02,02,Sábado,09,Setembro,3,Terceiro,1950,Inverno,Sim,19500902
50245,1950-09-03,03,Domingo,09,Setembro,3,Terceiro,1950,Inverno,Sim,19500903
50246,1950-09-04,04,Segunda,09,Setembro,3,Terceiro,1950,Inverno,Não,19500904
50247,1950-09-05,05,Terça,09,Setembro,3,Terceiro,1950,Inverno,Não,19500905
50248,1950-09-06,06,Quarta,09,Setembro,3,Terceiro,1950,Inverno,Não,19500906
50249,1950-09-07,07,Quinta,09,Setembro,3,Terceiro,1950,Inverno,Não,19500907
50250,1950-09-08,08,Sexta,09,Setembro,3,Terceiro,1950,Inverno,Não,19500908
50251,1950-09-09,09,Sábado,09,Setembro,3,Terceiro,1950,Inverno,Sim,19500909
50252,1950-09-10,10,Domingo,09,Setembro,3,Terceiro,1950,Inverno,Sim,19500910
50253,1950-09-11,11,Segunda,09,Setembro,3,Terceiro,1950,Inverno,Não,19500911
50254,1950-09-12,12,Terça,09,Setembro,3,Terceiro,1950,Inverno,Não,19500912
50255,1950-09-13,13,Quarta,09,Setembro,3,Terceiro,1950,Inverno,Não,19500913
50256,1950-09-14,14,Quinta,09,Setembro,3,Terceiro,1950,Inverno,Não,19500914
50257,1950-09-15,15,Sexta,09,Setembro,3,Terceiro,1950,Inverno,Não,19500915
50258,1950-09-16,16,Sábado,09,Setembro,3,Terceiro,1950,Inverno,Sim,19500916
50259,1950-09-17,17,Domingo,09,Setembro,3,Terceiro,1950,Inverno,Sim,19500917
50260,1950-09-18,18,Segunda,09,Setembro,3,Terceiro,1950,Inverno,Não,19500918
50261,1950-09-19,19,Terça,09,Setembro,3,Terceiro,1950,Inverno,Não,19500919
50262,1950-09-20,20,Quarta,09,Setembro,3,Terceiro,1950,Inverno,Não,19500920
50263,1950-09-21,21,Quinta,09,Setembro,3,Terceiro,1950,Inverno,Não,19500921
50264,1950-09-22,22,Sexta,09,Setembro,3,Terceiro,1950,Inverno,Não,19500922
50265,1950-09-23,23,Sábado,09,Setembro,3,Terceiro,1950,Primavera,Sim,19500923
50266,1950-09-24,24,Domingo,09,Setembro,3,Terceiro,1950,Primavera,Sim,19500924
50267,1950-09-25,25,Segunda,09,Setembro,3,Terceiro,1950,Primavera,Não,19500925
50268,1950-09-26,26,Terça,09,Setembro,3,Terceiro,1950,Primavera,Não,19500926
50269,1950-09-27,27,Quarta,09,Setembro,3,Terceiro,1950,Primavera,Não,19500927
50270,1950-09-28,28,Quinta,09,Setembro,3,Terceiro,1950,Primavera,Não,19500928
50271,1950-09-29,29,Sexta,09,Setembro,3,Terceiro,1950,Primavera,Não,19500929
50272,1950-09-30,30,Sábado,09,Setembro,3,Terceiro,1950,Primavera,Sim,19500930
50273,1950-10-01,01,Domingo,10,Outubro,4,Quarto,1950,Primavera,Sim,19501001
50274,1950-10-02,02,Segunda,10,Outubro,4,Quarto,1950,Primavera,Não,19501002
50275,1950-10-03,03,Terça,10,Outubro,4,Quarto,1950,Primavera,Não,19501003
50276,1950-10-04,04,Quarta,10,Outubro,4,Quarto,1950,Primavera,Não,19501004
50277,1950-10-05,05,Quinta,10,Outubro,4,Quarto,1950,Primavera,Não,19501005
50278,1950-10-06,06,Sexta,10,Outubro,4,Quarto,1950,Primavera,Não,19501006
50279,1950-10-07,07,Sábado,10,Outubro,4,Quarto,1950,Primavera,Sim,19501007
50280,1950-10-08,08,Domingo,10,Outubro,4,Quarto,1950,Primavera,Sim,19501008
50281,1950-10-09,09,Segunda,10,Outubro,4,Quarto,1950,Primavera,Não,19501009
50282,1950-10-10,10,Terça,10,Outubro,4,Quarto,1950,Primavera,Não,19501010
50283,1950-10-11,11,Quarta,10,Outubro,4,Quarto,1950,Primavera,Não,19501011
50284,1950-10-12,12,Quinta,10,Outubro,4,Quarto,1950,Primavera,Não,19501012
50285,1950-10-13,13,Sexta,10,Outubro,4,Quarto,1950,Primavera,Não,19501013
50286,1950-10-14,14,Sábado,10,Outubro,4,Quarto,1950,Primavera,Sim,19501014
50287,1950-10-15,15,Domingo,10,Outubro,4,Quarto,1950,Primavera,Sim,19501015
50288,1950-10-16,16,Segunda,10,Outubro,4,Quarto,1950,Primavera,Não,19501016
50289,1950-10-17,17,Terça,10,Outubro,4,Quarto,1950,Primavera,Não,19501017
50290,1950-10-18,18,Quarta,10,Outubro,4,Quarto,1950,Primavera,Não,19501018
50291,1950-10-19,19,Quinta,10,Outubro,4,Quarto,1950,Primavera,Não,19501019
50292,1950-10-20,20,Sexta,10,Outubro,4,Quarto,1950,Primavera,Não,19501020
50293,1950-10-21,21,Sábado,10,Outubro,4,Quarto,1950,Primavera,Sim,19501021
50294,1950-10-22,22,Domingo,10,Outubro,4,Quarto,1950,Primavera,Sim,19501022
50295,1950-10-23,23,Segunda,10,Outubro,4,Quarto,1950,Primavera,Não,19501023
50296,1950-10-24,24,Terça,10,Outubro,4,Quarto,1950,Primavera,Não,19501024
50297,1950-10-25,25,Quarta,10,Outubro,4,Quarto,1950,Primavera,Não,19501025
50298,1950-10-26,26,Quinta,10,Outubro,4,Quarto,1950,Primavera,Não,19501026
50299,1950-10-27,27,Sexta,10,Outubro,4,Quarto,1950,Primavera,Não,19501027
50300,1950-10-28,28,Sábado,10,Outubro,4,Quarto,1950,Primavera,Sim,19501028
