IDNOTA,IDCLIENTE,IDVENDEDOR,IDFORMA,IDPRODUTO,IDFORNECEDOR,IDTEMPO,QUANTIDADE
526,946,14,3,93,17,74046,4
527,698,22,21,192,29,73765,1
528,868,20,14,59,11,73753,1
529,999,12,20,182,18,74021,1
530,159,18,7,53,9,74001,5
530,159,18,7,207,31,74001,3
530,159,18,7,159,40,74001,1
531,987,4,3,77,16,73778,5
531,987,4,3,119,18,73778,4
532,217,14,12,214,32,73755,1
533,567,16,19,68,13,74015,1
534,686,5,20,155,40,74052,3
534,686,5,20,174,14,74052,5
534,686,5,20,19,7,74052,3
535,369,21,6,153,22,74082,1
536,29,22,3,156,40,73947,1
537,569,15,26,117,41,74001,1
539,824,14,4,51,9,73845,3
541,131,17,8,129,37,74063,1
543,287,17,13,147,26,73942,4
545,952,19,4,166,14,73883,4
545,952,19,4,122,22,73883,2
545,952,19,4,42,9,73883,4
547,60,12,1,177,13,73757,3
549,150,21,17,180,39,74079,2
549,150,21,17,85,18,74079,4
551,213,13,14,106,21,73909,1
553,498,13,23,6,22,73764,3
555,298,23,1,86,18,74097,1
557,585,16,22,207,31,73853,4
559,767,21,18,119,18,74078,4
561,302,11,18,60,11,73876,1
563,21,5,26,53,9,73883,4
563,21,5,26,215,33,73883,2
565,604,23,26,72,15,73894,1
567,468,16,12,86,18,74026,2
567,468,16,12,154,40,74026,2
567,468,16,12,4,1,74026,5
569,848,8,11,74,16,74056,1
571,422,2,19,4,1,73965,1
573,674,17,9,151,22,74023,4
595,459,11,17,64,12,73794,2
596,475,1,11,67,13,73785,3
597,522,18,12,177,13,73783,1
598,484,22,22,76,16,73786,2
599,905,20,24,91,17,74032,1
600,158,14,5,20,4,73928,3
600,158,14,5,129,37,73928,4
601,691,17,13,231,36,73811,1
602,242,19,5,128,37,74090,2
602,242,19,5,121,22,74090,2
603,716,6,2,112,41,73943,4
604,607,12,25,93,17,73927,5
605,846,1,22,103,13,73826,2
605,846,1,22,208,31,73826,2
605,846,1,22,145,13,73826,2
606,387,19,26,8,22,73786,1
607,785,7,6,24,7,73749,2
607,785,7,6,71,14,73749,4
608,20,7,18,224,34,73853,3
609,655,23,3,98,21,73879,1
610,656,19,24,124,23,74081,4
610,656,19,24,170,13,74081,3
611,666,17,4,145,13,73958,1
612,160,16,10,221,35,73780,1
613,221,1,17,150,16,73832,1
614,556,10,16,191,19,73927,4
616,735,10,4,120,18,73898,1
618,529,18,8,214,32,74097,1
620,325,7,8,94,17,74089,1
622,991,19,3,142,24,73843,2
624,568,2,11,7,22,73742,1
624,568,2,11,19,7,73742,2
626,186,17,7,195,27,74037,5
626,186,17,7,111,25,74037,3
626,186,17,7,121,22,74037,4
626,186,17,7,162,18,74037,3
628,933,20,3,202,38,73819,2
628,933,20,3,232,36,73819,1
630,73,3,11,220,35,73900,1
630,73,3,11,161,18,73900,5
632,135,16,17,41,9,74090,3
634,63,9,24,129,37,73883,4
636,580,8,16,115,41,73749,1
638,835,1,21,187,28,74025,4
640,984,2,8,166,14,74090,1
642,803,23,14,81,18,73934,1
644,335,22,24,99,25,73937,1
646,717,7,16,79,17,73851,3
648,645,24,5,175,39,73902,4
648,645,24,5,177,13,73902,5
650,223,6,12,150,16,73802,2
672,291,18,9,179,39,73764,3
672,291,18,9,191,19,73764,3
672,291,18,9,233,11,73764,5
673,943,19,9,211,31,74021,2
673,943,19,9,17,5,74021,4
673,943,19,9,90,17,74021,3
674,197,23,24,141,24,73984,3
674,197,23,24,186,27,73984,2
675,513,24,14,125,23,74009,2
675,513,24,14,231,36,74009,3
676,108,13,2,155,40,74036,2
676,108,13,2,227,34,74036,1
677,20,15,10,189,29,73786,4
678,517,2,22,4,1,73789,5
678,517,2,22,226,34,73789,2
679,121,21,20,64,12,73929,1
680,397,2,23,51,9,73969,4
681,302,23,12,44,10,74089,1
681,302,23,12,207,31,74089,5
682,897,22,1,167,14,73745,1
683,351,6,17,48,9,73838,1
684,834,4,22,123,22,73911,2
684,834,4,22,81,18,73911,5
685,620,17,12,141,24,74021,1
686,220,5,24,112,41,74079,1
686,220,5,24,74,16,74079,3
686,220,5,24,150,16,74079,3
686,220,5,24,121,22,74079,2
687,140,19,13,9,22,73775,1
688,803,19,13,199,20,73845,2
689,892,13,12,101,18,73856,2
690,168,13,25,20,4,73773,3
691,113,17,20,78,17,74086,1
693,723,22,20,106,21,74002,1
695,808,10,9,132,13,73872,4
697,38,22,16,172,25,73956,1
699,992,7,23,147,26,73750,1
701,709,2,14,149,26,74100,3
703,271,22,18,51,9,74057,1
705,687,8,3,6,22,73895,2
707,914,23,9,117,41,73938,1
709,57,7,14,28,7,73975,4
709,57,7,14,39,8,73975,2
711,342,20,22,199,20,74010,1
713,665,9,21,79,17,73974,1
715,348,3,19,131,25,74061,1
717,418,8,17,126,37,73938,4
717,418,8,17,186,27,73938,2
719,649,14,17,30,6,73767,4
721,482,12,19,186,27,73945,1
723,746,4,19,60,11,74040,2
723,746,4,19,229,35,74040,1
725,625,12,3,144,26,74052,1
727,630,2,22,42,9,73954,3
749,80,23,2,39,8,73918,1
750,264,13,8,91,17,73897,1
751,164,1,1,15,3,73924,3
751,164,1,1,51,9,73924,5
752,253,5,26,211,31,74038,4
753,348,5,10,137,23,73923,1
754,801,15,25,36,8,73855,1
755,377,19,3,94,17,74092,1
756,268,1,3,196,19,73838,4
757,45,13,7,21,4,73993,1
758,714,15,7,106,21,73845,2
759,909,8,25,105,21,74067,1
760,715,19,8,175,39,73960,3
760,715,19,8,2,1,73960,3
761,898,13,2,25,5,73749,1
762,438,6,2,99,25,73847,1
763,584,12,1,48,9,73922,1
764,274,2,13,98,21,73767,1
765,686,23,9,101,18,74020,3
766,851,20,2,196,19,73846,1
766,851,20,2,149,26,73846,1
766,851,20,2,111,25,73846,1
767,343,23,5,46,10,73741,1
768,107,4,14,22,5,73955,3
768,107,4,14,224,34,73955,2
768,107,4,14,185,27,73955,3
768,107,4,14,118,18,73955,1
770,857,10,23,214,32,74071,1
772,860,9,18,89,23,74000,1
774,222,7,23,195,27,73815,2
774,222,7,23,159,40,73815,2
776,70,5,4,204,31,74078,5
778,673,15,17,78,17,74100,5
780,936,23,5,212,32,73782,5
780,936,23,5,227,34,73782,1
782,767,21,24,24,7,74020,1
782,767,21,24,53,9,74020,2
784,812,16,5,230,35,73883,1
786,518,3,3,38,8,73962,1
788,117,15,5,86,18,73808,1
790,163,16,3,39,8,73847,4
790,163,16,3,195,27,73847,4
790,163,16,3,35,7,73847,4
792,71,22,22,131,25,74008,1
794,19,17,4,97,25,73779,1
796,728,7,4,154,40,74038,2
796,728,7,4,59,11,74038,3
796,728,7,4,55,9,74038,2
798,19,13,1,119,18,73915,1
800,642,16,7,133,13,74003,2
802,756,6,25,229,35,74039,5
804,18,15,21,123,22,73818,1
826,615,19,10,39,8,73903,1
827,812,15,15,69,13,74067,4
828,169,16,26,148,13,73962,1
828,169,16,26,159,40,73962,4
829,677,9,4,230,35,73995,1
830,234,3,19,89,23,74034,3
831,128,2,15,137,23,73958,2
832,312,3,16,34,7,73862,1
832,312,3,16,161,18,73862,2
833,898,22,18,198,38,74017,4
834,838,1,15,99,25,73788,2
834,838,1,15,162,18,73788,2
834,838,1,15,96,25,73788,1
834,838,1,15,68,13,73788,4
835,927,19,23,35,7,73817,4
836,467,10,20,115,41,73857,2
837,357,11,9,174,14,73778,3
838,261,15,7,113,41,73987,3
839,796,1,14,128,37,73992,1
840,999,8,1,233,11,73990,3
841,352,20,16,21,4,73785,1
842,23,2,9,113,41,74088,1
843,807,9,13,233,11,73907,1
844,436,10,9,164,14,73933,1
845,882,14,12,61,12,74071,2
847,970,4,18,114,41,74019,1
849,150,24,23,29,4,73911,3
851,813,19,16,38,8,74006,2
853,595,15,1,139,24,74008,1
855,321,3,8,87,23,73772,1
857,252,15,25,4,1,74046,4
859,241,1,18,90,17,73774,1
861,447,11,16,27,7,73815,5
863,662,2,17,93,17,73780,2
863,662,2,17,159,40,73780,4
863,662,2,17,47,9,73780,2
863,662,2,17,195,27,73780,3
863,662,2,17,225,34,73780,3
863,662,2,17,152,21,73780,1
865,324,19,7,222,33,73999,2
867,366,4,10,229,35,73780,1
869,151,15,21,65,12,73760,1
871,234,10,23,221,35,74021,5
873,899,7,12,2,1,73873,1
875,786,18,10,162,18,73906,1
877,850,12,25,29,4,73781,3
879,416,22,2,46,10,73807,2
879,416,22,2,9,22,73807,3
879,416,22,2,24,7,73807,2
881,700,22,6,107,21,73778,1
881,700,22,6,85,18,73778,1
903,61,9,2,24,7,73809,1
904,99,1,8,130,18,73822,3
905,242,16,15,36,8,73958,1
906,442,19,15,233,11,73752,1
907,623,8,4,121,22,73926,2
908,144,9,1,139,24,74040,3
909,10,18,21,230,35,73862,1
910,669,6,6,120,18,74023,3
911,416,7,16,133,13,73823,3
911,416,7,16,113,41,73823,1
912,183,12,12,160,18,73805,1
913,432,6,21,25,5,73929,2
914,656,24,7,220,35,74030,5
915,40,4,2,130,18,74016,2
915,40,4,2,39,8,74016,2
915,40,4,2,16,4,74016,3
916,654,2,21,227,34,73929,3
916,654,2,21,175,39,73929,4
917,949,18,3,208,31,73967,4
918,770,11,18,202,38,73774,4
918,770,11,18,42,9,73774,4
919,221,4,19,195,27,73800,5
919,221,4,19,165,14,73800,3
920,678,1,8,5,1,73809,1
921,524,9,15,40,8,73810,3
922,837,18,22,20,4,73948,5
924,313,1,6,181,39,74033,1
926,258,13,24,57,11,73745,3
928,726,9,9,180,39,73745,1
930,460,11,11,9,22,73749,1
932,629,5,14,117,41,73933,2
932,629,5,14,168,13,73933,3
934,827,12,20,19,7,74085,2
936,563,13,2,121,22,73843,2
938,757,17,7,215,33,73802,4
938,757,17,7,152,21,73802,1
938,757,17,7,155,40,73802,3
938,757,17,7,202,38,73802,2
940,460,24,23,108,21,73824,3
942,409,1,10,164,14,73868,1
944,186,9,23,230,35,74000,5
944,186,9,23,102,13,74000,5
946,269,1,25,107,21,73874,2
948,911,19,3,35,7,73853,2
948,911,19,3,220,35,73853,4
950,933,8,23,134,21,74060,2
950,933,8,23,120,18,74060,4
952,291,8,11,194,19,73782,4
954,281,8,12,78,17,73904,1
956,594,8,10,119,18,73774,3
958,32,17,10,76,16,73973,1
980,648,20,13,150,16,73896,1
981,783,8,16,21,4,73841,1
982,19,18,11,201,27,73806,4
982,19,18,11,204,31,73806,3
983,596,1,18,90,17,73937,2
984,474,1,1,27,7,73744,1
985,382,17,4,16,4,73885,3
986,399,9,13,54,9,74022,1
986,399,9,13,114,41,74022,2
987,548,13,24,96,25,74081,1
988,772,12,8,220,35,73976,1
989,682,19,26,104,13,74099,1
990,464,4,20,115,41,73767,1
991,970,14,25,206,31,73954,3
991,970,14,25,20,4,73954,5
992,360,13,17,107,21,73793,3
992,360,13,17,143,21,73793,2
993,529,7,20,199,20,74014,4
994,954,21,12,195,27,73879,1
995,541,21,8,96,25,73953,3
995,541,21,8,142,24,73953,4
996,691,5,5,43,10,73933,5
996,691,5,5,52,9,73933,2
997,424,15,22,21,4,73762,1
998,615,8,1,199,20,74085,1
999,850,4,12,135,21,74060,1
1001,750,5,1,182,18,73995,1
1003,407,24,9,95,21,74031,1
1005,781,5,6,47,9,73984,2
1005,781,5,6,14,3,73984,4
1005,781,5,6,61,12,73984,1
1007,297,12,25,83,18,73911,3
1009,292,9,1,122,22,73802,1
1011,277,8,14,151,22,73896,1
1013,279,7,23,157,40,73892,2
1015,731,16,19,22,5,73767,4
1015,731,16,19,209,30,73767,3
1017,132,24,6,54,9,73853,3
1017,132,24,6,107,21,73853,3
1019,747,11,8,194,19,73874,4
1021,700,16,12,36,8,73843,1
1023,358,7,1,66,13,73755,1
1025,816,16,24,104,13,73826,1
1027,174,11,17,43,10,73780,3
1029,957,3,1,146,26,73841,1
1031,981,16,13,216,33,73819,1
1031,981,16,13,220,35,73819,3
1033,754,18,26,94,17,73960,1
1035,689,6,12,34,7,73879,1
1037,16,22,22,228,34,74065,2
1057,755,6,1,193,19,74057,1
1058,216,5,24,232,36,73879,2
1059,712,17,8,194,19,74056,3
1059,712,17,8,28,7,74056,4
1059,712,17,8,25,5,74056,3
1059,712,17,8,211,31,74056,4
1060,747,14,22,12,2,73877,1
1061,150,10,17,92,17,73935,2
1062,256,4,23,129,37,73939,1
1063,788,3,20,101,18,73872,3
1064,442,15,20,197,20,73886,3
1065,119,17,3,118,18,74045,1
1066,899,11,20,138,24,73895,3
1067,264,11,24,171,13,73918,2
1067,264,11,24,166,14,73918,2
1068,665,2,17,208,31,73849,4
1068,665,2,17,137,23,73849,4
1069,446,9,7,130,18,73964,3
1070,88,2,1,37,8,74001,1
1071,431,13,7,127,37,73785,1
1072,622,4,17,74,16,74008,1
1073,3,2,17,70,14,73851,4
1073,3,2,17,13,2,73851,1
1073,3,2,17,87,23,73851,2
1073,3,2,17,2,1,73851,3
1074,684,13,16,60,11,73815,2
1075,213,15,19,90,17,74100,3
1076,203,1,12,226,34,73944,2
1078,379,14,15,97,25,73947,1
1080,778,18,22,115,41,73854,1
1082,865,9,21,86,18,74080,2
1082,865,9,21,170,13,74080,5
1082,865,9,21,143,21,74080,2
1084,415,12,8,60,11,74061,4
1086,894,2,22,181,39,73876,1
1088,235,24,7,233,11,74040,4
1088,235,24,7,141,24,74040,3
1090,501,1,15,209,30,73992,2
1090,501,1,15,133,13,73992,4
1092,934,5,2,171,13,73796,3
1092,934,5,2,153,22,73796,2
1092,934,5,2,226,34,73796,3
1094,180,20,23,134,21,73931,4
1094,180,20,23,93,17,73931,2
1094,180,20,23,211,31,73931,3
1094,180,20,23,186,27,73931,5
1094,180,20,23,132,13,73931,2
1096,746,1,2,72,15,73753,3
1096,746,1,2,173,38,73753,5
1098,883,3,11,112,41,73884,4
1098,883,3,11,143,21,73884,5
1098,883,3,11,98,21,73884,2
1100,899,15,4,24,7,73744,3
1100,899,15,4,94,17,73744,2
1102,983,24,5,160,18,73835,1
1102,983,24,5,182,18,73835,2
1104,843,5,11,102,13,74066,1
1106,357,10,8,98,21,74030,1
1108,499,6,26,38,8,73926,2
1108,499,6,26,181,39,73926,4
1110,590,7,26,111,25,73877,1
1112,19,11,11,222,33,73973,2
1112,19,11,11,4,1,73973,3
1114,641,2,10,166,14,73776,1
1134,219,10,9,152,21,73896,1
1135,50,11,12,174,14,73912,3
1135,50,11,12,99,25,73912,4
1135,50,11,12,143,21,73912,4
1136,409,12,3,62,12,73958,1
1137,312,9,19,41,9,73741,1
1138,844,22,11,13,2,73775,3
1139,653,14,20,93,17,73787,1
1140,20,23,1,184,14,74077,3
1140,20,23,1,77,16,74077,1
1140,20,23,1,30,6,74077,4
1141,377,3,15,69,13,73853,3
1141,377,3,15,20,4,73853,5
1142,353,19,4,145,13,73761,4
1143,113,15,1,201,27,73996,1
1143,113,15,1,22,5,73996,2
1144,937,24,13,10,22,73878,2
1145,601,20,2,169,13,73974,1
1146,140,13,18,147,26,74029,1
1147,870,3,20,137,23,73903,4
1147,870,3,20,194,19,73903,5
1147,870,3,20,159,40,73903,2
1148,249,20,22,204,31,73744,4
1148,249,20,22,111,25,73744,3
1149,532,10,14,230,35,73905,1
1150,28,8,3,67,13,73936,4
1150,28,8,3,211,31,73936,2
1151,832,6,18,25,5,73824,1
1152,69,20,3,142,24,74015,4
1152,69,20,3,24,7,74015,3
1153,19,24,15,173,38,73987,3
1155,581,3,17,154,40,73812,1
1157,586,3,13,93,17,74028,1
1159,152,21,3,21,4,73968,2
1159,152,21,3,33,6,73968,2
1161,775,6,11,204,31,73906,4
1163,749,17,11,125,23,73879,3
1163,749,17,11,147,26,73879,4
1165,879,2,20,158,40,74098,4
1165,879,2,20,114,41,74098,5
1167,737,22,14,131,25,74055,1
1169,95,6,20,204,31,73944,3
